	word	freq
0	devoção	20
1	oração	10
2	contentamento	7
3	povoação	5
4	embarcação	3
5	obrigação	3
6	nomeação	2
7	habitação	2
8	assumpção	2
9	agradecimento	2
10	resurreição	2
11	peregrinação	2
12	invenção	2
13	consideração	2
14	representação	2
15	recompensação	1
16	pertenção	1
17	veneração	1
18	contrição	1
19	ocupação	1
20	composição	1
21	geração	1
22	movimento	1
23	degolação	1
24	acompanhamento	1
25	celebração	1
26	redempção	1
27	requerimento	1
28	entendimento	1
29	alcanção	1
30	continuação	1
31	invocação	1
32	correcção	1
33	ascenção	1
34	lanção	1
35	recebimento	1
36	sentimento	1
37	recreação	1
38	benção	1
