	word	freq
0	invenção	20
1	imitação	18
2	entendimento	17
3	disposição	9
4	composição	8
5	imaginação	8
6	conhecimento	7
7	pensamento	7
8	narração	6
9	ornamento	6
10	consideração	6
11	inclinação	5
12	criação	5
13	obrigação	4
14	representação	4
15	comparação	4
16	explicação	3
17	admiração	3
18	observação	3
19	coroação	3
20	continuação	3
21	eleição	3
22	aplicação	3
23	significação	3
24	movimento	3
25	declaração	2
26	especulação	2
27	afetação	2
28	formação	2
29	exaltação	2
30	descrição	1
31	replicação	1
32	geração	1
33	demonstração	1
34	constituição	1
35	atrevimento	1
36	contornação	1
37	agradecimento	1
38	fingimento	1
39	admoestação	1
40	oração	1
41	instituição	1
42	definição	1
43	circunscrição	1
44	iluminação	1
45	cerração	1
46	conservação	1
47	constrangimento	1
48	acontecimento	1
49	salvação	1
50	agregação	1
51	devoção	1
52	proibição	1
53	enlaçamento	1
54	alteração	1
55	merecimento	1
56	duração	1
57	colocação	1
58	introdução	1
59	inspiração	1
60	contemplação	1
61	recebimento	1
62	reputação	1
63	tradução	1
64	resolução	1
65	distribuição	1
66	sofrimento	1
67	inscrição	1
68	operação	1
