	word	freq
0	pensamento	21
1	educação	18
2	instrução	16
3	sentimento	13
4	explicação	11
5	repartição	9
6	observação	9
7	administração	9
8	conhecimento	9
9	narração	9
10	movimento	8
11	tratamento	8
12	sofrimento	7
13	imitação	6
14	manifestação	6
15	estabelecimento	6
16	arrependimento	6
17	resignação	6
18	geração	5
19	humilhação	5
20	constituição	5
21	concepção	4
22	abdicação	4
23	classificação	4
24	contemplação	4
25	presunção	4
26	aniquilamento	3
27	colaboração	3
28	intervenção	3
29	aparecimento	3
30	agitação	3
31	recomendação	3
32	publicação	3
33	reclamação	3
34	aborrecimento	3
35	ilustração	3
36	acontecimento	3
37	proteção	3
38	interrogação	2
39	admiração	2
40	preocupação	2
41	perseguição	2
42	internação	2
43	consideração	2
44	isolamento	2
45	enfatuação	2
46	depreciação	2
47	seriação	2
48	construção	2
49	procedimento	2
50	obrigação	2
51	edição	2
52	penetração	2
53	degradação	2
54	julgamento	2
55	equiparação	2
56	atração	2
57	organização	2
58	contentamento	2
59	negação	2
60	extração	2
61	comiseração	2
62	decomposição	1
63	inclinação	1
64	articulação	1
65	unção	1
66	demonstração	1
67	indução	1
68	ligação	1
69	desincorporação	1
70	peregrinação	1
71	baldeação	1
72	abnegação	1
73	insubordinação	1
74	generalização	1
75	defloramento	1
76	afirmação	1
77	informação	1
78	fecundação	1
79	imaginação	1
80	seguimento	1
81	renunciamento	1
82	colocação	1
83	aplicação	1
84	reputação	1
85	contradição	1
86	meditação	1
87	depoimento	1
88	realização	1
89	descrição	1
90	rebaixamento	1
91	recriminação	1
92	distinção	1
93	viração	1
94	pressentimento	1
95	acanhamento	1
96	comunicação	1
97	compensação	1
98	segregação	1
99	salvação	1
100	associação	1
101	ralação	1
102	revelação	1
103	fragmentação	1
104	orçamento	1
105	mandamento	1
106	composição	1
107	ensinamento	1
108	acabamento	1
109	melhoramento	1
110	afastamento	1
111	arborização	1
112	perecimento	1
113	provocação	1
114	ressentimento	1
115	deformação	1
116	perturbação	1
117	interrupção	1
118	intuição	1
119	expedição	1
120	operação	1
121	acorrentamento	1
122	subordinação	1
123	encadeamento	1
124	exclamação	1
125	gratificação	1
126	edificação	1
127	esquecimento	1
128	divinização	1
129	alheamento	1
130	calçamento	1
131	injunção	1
132	disposição	1
133	injeção	1
134	fiscalização	1
135	desapontamento	1
136	reincorporação	1
137	conspiração	1
138	sedução	1
139	suposição	1
140	prevenção	1
141	alojamento	1
142	desenvolvimento	1
143	exalação	1
144	exaltação	1
145	alucinação	1
146	exibição	1
147	indagação	1
148	apagamento	1
149	precipitação	1
150	decoração	1
151	dedicação	1
152	atrevimento	1
153	regulamento	1
154	enumeração	1
155	aquisição	1
156	resolução	1
157	baralhamento	1
158	recordação	1
159	deflagração	1
160	correção	1
161	desnorteiamento	1
162	má-criação	1
163	fundação	1
164	solicitação	1
165	formação	1
166	pigmentação	1
167	demolição	1
168	iniciação	1
169	empacamento	1
170	exteriorização	1
171	tradução	1
172	desfalecimento	1
173	obliteração	1
174	açodamento	1
175	exposição	1
176	dissimulação	1
177	consentimento	1
