	word	freq
0	sentimento	69
1	movimento	46
2	denominação	30
3	explicação	28
4	encarnação	26
5	pensamento	26
6	imaginação	24
7	resolução	24
8	hesitação	18
9	conspiração	18
10	conversação	18
11	separação	17
12	admiração	17
13	indignação	16
14	aflição	16
15	consideração	15
16	procedimento	13
17	abatimento	13
18	excitação	13
19	consolação	12
20	revelação	12
21	observação	11
22	recordação	11
23	intervenção	11
24	devoção	11
25	proteção	11
26	educação	10
27	civilização	10
28	instrução	10
29	estabelecimento	10
30	dedicação	10
31	exposição	10
32	informação	9
33	florescimento	9
34	oposição	9
35	obrigação	8
36	constrangimento	8
37	inquietação	8
38	acanhamento	8
39	reconhecimento	8
40	tratamento	8
41	afetação	7
42	agitação	7
43	humilhação	7
44	comunicação	7
45	merecimento	7
46	execução	7
47	reputação	7
48	compensação	7
49	conhecimento	7
50	alteração	7
51	dissimulação	7
52	cumprimento	6
53	irritação	6
54	melhoramento	6
55	decoração	6
56	desconsolação	6
57	animação	6
58	traição	6
59	preocupação	6
60	contentamento	6
61	penetração	6
62	adoração	5
63	isenção	5
64	expiação	5
65	criação	5
66	sedução	5
67	elevação	5
68	reiação	5
69	resignação	5
70	transformação	5
71	instituição	5
72	aplicação	5
73	descrição	5
74	salvação	5
75	contemplação	5
76	apreciação	5
77	ilustração	5
78	reprovação	5
79	vibração	5
80	suposição	4
81	exageração	4
82	perseguição	4
83	dissolução	4
84	comutação	4
85	desesperação	4
86	prevenção	4
87	acontecimento	4
88	desapontamento	4
89	juramento	4
90	duração	4
91	respiração	4
92	recolhimento	4
93	aprovação	4
94	destruição	4
95	constipação	4
96	perturbação	4
97	interrupção	4
98	coroação	4
99	continuação	4
100	organização	4
101	tentação	4
102	aborrecimento	4
103	exploração	4
104	intimação	3
105	exclamação	3
106	veneração	3
107	repartição	3
108	aclamação	3
109	adulação	3
110	isolamento	3
111	diminuição	3
112	prolongamento	3
113	ligação	3
114	habitação	3
115	indicação	3
116	importação	3
117	assentimento	3
118	operação	3
119	encruzamento	3
120	encantamento	3
121	negação	3
122	instrumentação	3
123	complicação	3
124	manifestação	3
125	confirmação	3
126	acampamento	3
127	ressentimento	3
128	ocupação	3
129	oferecimento	3
130	justificação	3
131	inspiração	3
132	lamentação	3
133	imposição	3
134	dominação	3
135	distinção	3
136	pressentimento	3
137	contradição	3
138	representação	3
139	reparação	3
140	dilatação	3
141	agradecimento	3
142	esquecimento	3
143	extinção	3
144	purificação	3
145	corrupção	3
146	disposição	3
147	designação	3
148	obstinação	3
149	altercação	3
150	precipitação	3
151	constituição	3
152	oração	3
153	significação	3
154	exaltação	3
155	distração	3
156	inclinação	2
157	aparição	2
158	quietação	2
159	judiação	2
160	consentimento	2
161	simulação	2
162	interpretação	2
163	abstenção	2
164	meditação	2
165	fulguração	2
166	excepção	2
167	recepção	2
168	construção	2
169	predestinação	2
170	inundação	2
171	desenfreamento	2
172	ostentação	2
173	aglomeração	2
174	recebimento	2
175	descontentamento	2
176	especulação	2
177	assunção	2
178	desenvolvimento	2
179	demonstração	2
180	subscrição	2
181	comiseração	2
182	arrependimento	2
183	exportação	2
184	dedução	2
185	suplicação	2
186	associação	2
187	escoriação	2
188	pulverização	2
189	pagamento	2
190	exibição	2
191	afirmação	2
192	prolongação	2
193	decifração	2
194	invocação	2
195	condenação	2
196	evolução	2
197	comparação	2
198	publicação	2
199	pronunciamento	2
200	enternecimento	2
201	armação	2
202	depravação	2
203	estupefação	2
204	contração	2
205	comprometimento	2
206	intuição	2
207	expedição	2
208	edificação	2
209	eleição	2
210	logração	2
211	reconciliação	2
212	combinação	2
213	aspiração	2
214	punição	2
215	narração	2
216	apresentação	2
217	declaração	2
218	atrevimento	2
219	percepção	2
220	labutação	2
221	acumulação	2
222	proposição	2
223	interrogação	1
224	junção	1
225	servição	1
226	evocação	1
227	deleitação	1
228	insinuação	1
229	estouvamento	1
230	rejeição	1
231	decomposição	1
232	recomendação	1
233	configuração	1
234	atrapalhação	1
235	revogação	1
236	mistificação	1
237	recrutamento	1
238	vencimento	1
239	restabelecimento	1
240	multiplicação	1
241	retraimento	1
242	atordoamento	1
243	estremecimento	1
244	infiltração	1
245	regimento	1
246	unção	1
247	propalação	1
248	arruamento	1
249	conjuração	1
250	flutuação	1
251	entonação	1
252	terminação	1
253	abolição	1
254	fornecimento	1
255	rompimento	1
256	imputação	1
257	antecipação	1
258	desprendimento	1
259	transpiração	1
260	indenização	1
261	reclamação	1
262	embirração	1
263	dissentimento	1
264	acompanhamento	1
265	lançamento	1
266	passamento	1
267	amolecimento	1
268	ponderação	1
269	acusação	1
270	degradação	1
271	povoação	1
272	bamboleiamento	1
273	distribuição	1
274	oscilação	1
275	interpelação	1
276	circunspeção	1
277	inscrição	1
278	cruzamento	1
279	nomeação	1
280	compilação	1
281	delação	1
282	regulamento	1
283	condecoração	1
284	fundação	1
285	arrebanhamento	1
286	andamento	1
287	desvanecimento	1
288	amolação	1
289	extração	1
290	enfartação	1
291	embrutecimento	1
292	empoeiramento	1
293	padecimento	1
294	desmerecimento	1
295	formação	1
296	introdução	1
297	luxação	1
298	experimentação	1
299	mutilação	1
300	agravação	1
301	composição	1
302	doação	1
303	comportamento	1
304	enfraquecimento	1
305	invenção	1
306	adiantamento	1
307	intrometimento	1
308	abnegação	1
309	insubordinação	1
310	inebriação	1
311	escrituração	1
312	abdicação	1
313	palpitação	1
314	rebrilhação	1
315	execração	1
316	deposição	1
317	resfriamento	1
318	aviamento	1
319	proclamação	1
320	regeneração	1
321	exultação	1
322	violação	1
323	consternação	1
324	aperfeiçoamento	1
325	aceitação	1
326	improvisação	1
327	ajuntamento	1
328	mortificação	1
329	saimento	1
330	repetição	1
331	deserção	1
332	determinação	1
333	mandamento	1
334	objeção	1
335	amarfanhamento	1
336	expectação	1
337	desaparecimento	1
338	encapelação	1
339	saudação	1
340	enfartamento	1
341	banimento	1
342	reconstrução	1
343	recuamento	1
344	transviamento	1
345	perdição	1
346	revivificação	1
347	emprazamento	1
348	governação	1
349	desaparição	1
350	produção	1
351	canalização	1
352	fiscalização	1
353	polimento	1
354	rotação	1
355	atração	1
356	conciliação	1
357	exalação	1
358	promoção	1
359	prostração	1
360	deslumbramento	1
361	esbanjamento	1
362	adormecimento	1
363	aproximação	1
364	contribuição	1
365	amortização	1
366	deliberação	1
367	circunvalação	1
368	fascinação	1
369	liquidação	1
370	embelezamento	1
371	embasbacamento	1
372	iluminação	1
373	ferimento	1
