	word	freq
0	obrigação	26
1	devação	22
2	oração	19
3	eleição	14
4	entendimento	11
5	inclinação	10
6	pregação	10
7	salvação	9
8	informação	8
9	criação	8
10	contemplação	8
11	pensamento	8
12	visitação	7
13	imaginação	7
14	tratamento	7
15	reformação	7
16	merecimento	7
17	quietação	6
18	continuação	6
19	conversação	6
20	consideração	6
21	sustentação	6
22	fundação	6
23	recreação	6
24	rendimento	5
25	mortificação	5
26	composição	5
27	recolhimento	5
28	jurdição	5
29	consolação	5
30	tenção	5
31	administração	4
32	acompanhamento	4
33	determinação	4
34	esquecimento	4
35	desconsolação	4
36	representação	4
37	alteração	4
38	nacimento	4
39	dissimulação	4
40	ocupação	3
41	contentamento	3
42	tentação	3
43	execução	3
44	condenação	3
45	navegação	3
46	sentimento	3
47	consentimento	3
48	compreição	2
49	gèração	2
50	agradecimento	2
51	importunação	2
52	conhecimento	2
53	ponderação	2
54	disposição	2
55	moderação	2
56	provimento	2
57	distribuição	2
58	seguimento	2
59	invocação	2
60	contradição	2
61	reputação	2
62	promoção	2
63	mantimento	2
64	acatamento	2
65	recomendação	2
66	aplicação	2
67	exceição	2
68	revelação	2
69	ajuntamento	2
70	distinção	2
71	desesperação	2
72	absolvição	2
73	confirmação	2
74	tradução	2
75	colação	1
76	acampanhamento	1
77	irmpedimento	1
78	movimento	1
79	regimento	1
80	demarcação	1
81	instituição	1
82	intervenção	1
83	edificação	1
84	conservação	1
85	aproveitamento	1
86	negoceiação	1
87	veneração	1
88	falecimento	1
89	repartição	1
90	sofrimento	1
91	consagração	1
92	dirivação	1
93	prevenção	1
94	encantamento	1
95	benção	1
96	cumprimento	1
97	descrição	1
98	interpretação	1
99	murmurção	1
100	dispensação	1
101	constituição	1
102	celebração	1
103	sospeição	1
104	congregação	1
105	crecimento	1
106	reconhecimento	1
107	aceitação	1
108	perseguição	1
109	narração	1
110	protecção	1
111	adopção	1
112	adulação	1
113	povoação	1
114	armação	1
115	comedimento	1
116	inflamação	1
117	arrecadação	1
118	deliberação	1
