	word	freq
0	assunção	131
1	juramento	12
2	resolução	11
3	movimento	9
4	sentimento	8
5	imaginação	7
6	admiração	5
7	cumprimento	5
8	consolação	5
9	educação	5
10	salvação	5
11	intervenção	4
12	consideração	4
13	contentamento	3
14	adoração	3
15	oferecimento	3
16	aborrecimento	3
17	pensamento	3
18	preocupação	3
19	intuição	2
20	oposição	2
21	eleição	2
22	abominação	2
23	palpitação	2
24	disposição	2
25	obstinação	2
26	acolhimento	2
27	criação	2
28	sujeição	2
29	perdição	2
30	tentação	2
31	sofrimento	2
32	recepção	2
33	compensação	2
34	habitação	2
35	exposição	2
36	operação	2
37	prestação	1
38	interrupção	1
39	evocação	1
40	comunicação	1
41	administração	1
42	agradecimento	1
43	tratamento	1
44	incitamento	1
45	ligação	1
46	profanação	1
47	determinação	1
48	passamento	1
49	tripulação	1
50	constrangimento	1
51	aflição	1
52	ponderação	1
53	embirração	1
54	cooperação	1
55	assentimento	1
56	hesitação	1
57	afirmação	1
58	reconciliação	1
59	reconhecimento	1
60	acumulação	1
61	fiscalização	1
62	entendimento	1
63	deputação	1
64	sedução	1
65	multiplicação	1
66	rompimento	1
67	aprovação	1
68	prevenção	1
69	invocação	1
70	elucidação	1
71	desmoralização	1
72	adivinhação	1
73	inspiração	1
74	construção	1
75	orçamento	1
76	apresentação	1
77	isolamento	1
78	cruzamento	1
79	lamentação	1
80	nomeação	1
81	embevecimento	1
82	imposição	1
83	inquirição	1
84	reiação	1
85	explicação	1
86	atrevimento	1
87	execução	1
88	indagação	1
89	continuação	1
90	mastigação	1
91	aproximação	1
92	ilustração	1
93	obrigação	1
94	instituição	1
95	civilização	1
96	crescimento	1
97	atração	1
98	aplicação	1
99	representação	1
100	repetição	1
101	revelação	1
102	comparação	1
103	divulgação	1
104	proibição	1
105	contradição	1
106	consentimento	1
107	solicitação	1
108	formação	1
109	resignação	1
110	proteção	1
111	fascinação	1
112	estabelecimento	1
113	devoção	1
114	polvilhação	1
115	excitação	1
116	reparação	1
117	abatimento	1
118	afastamento	1
119	arrependimento	1
120	deliberação	1
121	embranquecimento	1
122	provocação	1
