	word	freq
0	admiração	12
1	movimento	11
2	resolução	7
3	tratamento	6
4	inquietação	6
5	sentimento	5
6	imaginação	5
7	unção	5
8	obrigação	5
9	habitação	5
10	pensamento	5
11	respiração	5
12	acanhamento	5
13	composição	4
14	conhecimento	4
15	instrução	4
16	hesitação	4
17	conversação	4
18	prevenção	4
19	educação	4
20	salvação	4
21	proteção	4
22	povoação	4
23	disposição	3
24	agitação	3
25	medicamento	3
26	animação	3
27	juramento	3
28	perturbação	2
29	contestação	2
30	gesticulação	2
31	indignação	2
32	constrangimento	2
33	esquecimento	2
34	conformação	2
35	congraçamento	2
36	pagamento	2
37	interpelação	2
38	meditação	2
39	sofrimento	2
40	estabelecimento	2
41	descrição	2
42	contentamento	2
43	cogitação	2
44	precipitação	2
45	aborrecimento	2
46	aproximação	2
47	recomendação	2
48	aplicação	2
49	enfatuação	2
50	explicação	2
51	manifestação	2
52	alteração	2
53	estremecimento	2
54	preocupação	2
55	distração	2
56	cumprimento	1
57	indicação	1
58	aniquilamento	1
59	interrupção	1
60	exclamação	1
61	preservação	1
62	concepção	1
63	agradecimento	1
64	destruição	1
65	afrontação	1
66	divertimento	1
67	incitamento	1
68	arribação	1
69	prosseguimento	1
70	exaltamento	1
71	aspiração	1
72	desenvolvimento	1
73	asseveração	1
74	aflição	1
75	atilamento	1
76	conservação	1
77	abatimento	1
78	mangação	1
79	restabelecimento	1
80	classificação	1
81	putrefação	1
82	atrapalhação	1
83	irritação	1
84	exasperação	1
85	instigação	1
86	descontentamento	1
87	observação	1
88	comunicação	1
89	acolhimento	1
90	julgamento	1
91	combinação	1
92	criação	1
93	personificação	1
94	quebrantamento	1
95	modificação	1
96	contemplação	1
97	terminação	1
98	oferecimento	1
99	ondulação	1
100	aviamento	1
101	apresentação	1
102	benção	1
103	declaração	1
104	imposição	1
105	inquirição	1
106	consumição	1
107	oposição	1
108	imitação	1
109	execução	1
110	elação	1
111	admoestação	1
112	reputação	1
113	acabrunhamento	1
114	apreciação	1
115	viração	1
116	tenção	1
117	pressentimento	1
118	afirmação	1
119	compensação	1
120	reconhecimento	1
121	entoação	1
122	recordação	1
123	representação	1
124	construção	1
125	peregrinação	1
126	procedimento	1
127	comparação	1
128	perdição	1
129	incineração	1
130	devoção	1
131	ablução	1
132	embromação	1
133	opilação	1
134	assombração	1
135	proscrição	1
136	má-criação	1
137	excitação	1
138	saudação	1
139	inspiração	1
140	exaltação	1
141	negação	1
142	ripamento	1
143	arrebatamento	1
144	presunção	1
145	vacilação	1
146	operação	1
