	word	freq
0	movimento	27
1	pensamento	15
2	explicação	9
3	educação	8
4	imaginação	7
5	instrução	6
6	humilhação	6
7	cumprimento	5
8	sentimento	5
9	interrogação	4
10	resignação	4
11	salvação	4
12	oração	4
13	estupefação	4
14	exposição	4
15	ressentimento	3
16	interrupção	3
17	observação	3
18	especulação	3
19	sofrimento	3
20	pulsação	3
21	percepção	3
22	habitação	3
23	respiração	3
24	resolução	3
25	intervenção	3
26	transformação	3
27	separação	2
28	alteração	2
29	exclamação	2
30	fascinação	2
31	continuação	2
32	distinção	2
33	aborrecimento	2
34	esquecimento	2
35	reconciliação	2
36	arrependimento	2
37	obstinação	2
38	perdição	2
39	reiação	2
40	emancipação	2
41	tentação	2
42	verificação	2
43	reputação	2
44	acatamento	2
45	pressentimento	2
46	desapontamento	2
47	exploração	2
48	batimento	2
49	revelação	2
50	inundação	2
51	traição	2
52	preocupação	2
53	elaboração	2
54	inquíetação	1
55	irradiação	1
56	intuição	1
57	vencimento	1
58	decoração	1
59	relaxamento	1
60	acompanhamento	1
61	divertimento	1
62	ligação	1
63	peregrinação	1
64	coroação	1
65	inquirição	1
66	indignação	1
67	evolução	1
68	aflição	1
69	conservação	1
70	glorificação	1
71	contentamento	1
72	cintilação	1
73	assentimento	1
74	encomendação	1
75	polimento	1
76	concentração	1
77	significação	1
78	fervilhamento	1
79	exalação	1
80	disposição	1
81	comunicação	1
82	prolongação	1
83	adulação	1
84	agitação	1
85	palpitação	1
86	espreguiçamento	1
87	duração	1
88	retraimento	1
89	conversação	1
90	consagração	1
91	punição	1
92	interpretação	1
93	invocação	1
94	narração	1
95	ornamento	1
96	entendimento	1
97	inspiração	1
98	repetição	1
99	fulguração	1
100	alucinação	1
101	pacificação	1
102	indagação	1
103	imposição	1
104	desprendimento	1
105	prostração	1
106	compunção	1
107	assanhamento	1
108	estremeção	1
109	precipitação	1
110	regularização	1
111	atrevimento	1
112	execução	1
113	expiação	1
114	admoestação	1
115	consolação	1
116	aquisição	1
117	deslumbramento	1
118	extenuamento	1
119	tilintação	1
120	veneração	1
121	viração	1
122	iluminação	1
123	aspiração	1
124	obrigação	1
125	quietação	1
126	perseguição	1
127	aplicação	1
128	reprovação	1
129	comparação	1
130	construção	1
131	recriminação	1
132	carnação	1
133	admiração	1
134	objeção	1
135	maceração	1
136	devoção	1
137	desdobramento	1
138	manifestação	1
139	consentimento	1
140	retrospecção	1
141	formação	1
142	proteção	1
143	abstração	1
144	libertação	1
145	armação	1
146	divulgação	1
147	estremecimento	1
148	apresentação	1
149	andamento	1
150	tradução	1
151	distração	1
152	açodamento	1
153	afastamento	1
154	vibração	1
155	operação	1
