	word	freq
0	movimento	56
1	pensamento	48
2	sentimento	40
3	dedicação	30
4	resolução	26
5	admiração	20
6	salvação	18
7	habitação	18
8	juramento	17
9	reconhecimento	13
10	traição	13
11	oração	12
12	expedição	12
13	narração	12
14	respiração	10
15	sofrimento	9
16	punição	9
17	abnegação	8
18	realização	8
19	inquietação	8
20	imaginação	7
21	perturbação	7
22	exclamação	7
23	aflição	7
24	contemplação	7
25	organização	7
26	exprobração	6
27	pressentimento	6
28	execução	6
29	acontecimento	6
30	civilização	6
31	revelação	5
32	reparação	5
33	destruição	5
34	indignação	5
35	disposição	5
36	criação	5
37	explicação	5
38	alucinação	5
39	exaltação	5
40	ondulação	4
41	inundação	4
42	observação	4
43	profanação	4
44	acusação	4
45	hesitação	4
46	obstinação	4
47	contentamento	4
48	oscilação	4
49	resignação	4
50	distração	4
51	irradiação	3
52	isenção	3
53	conservação	3
54	aparecimento	3
55	agitação	3
56	inspiração	3
57	tenção	3
58	recomendação	3
59	procedimento	3
60	meditação	3
61	colação	3
62	tentação	3
63	descontentamento	3
64	oferecimento	3
65	aproximação	3
66	recordação	3
67	alteração	3
68	proteção	3
69	viração	3
70	envenenamento	2
71	separação	2
72	adoração	2
73	demolição	2
74	intervenção	2
75	ocupação	2
76	insubordinação	2
77	exageração	2
78	isolamento	2
79	cumprimento	2
80	regimento	2
81	unção	2
82	rotação	2
83	animação	2
84	educação	2
85	comunicação	2
86	devoção	2
87	ardimento	2
88	edição	2
89	ressentimento	2
90	entonação	2
91	descrição	2
92	acolhimento	2
93	conspiração	2
94	sedução	2
95	saudação	2
96	elevação	2
97	estrangulação	2
98	aplicação	2
99	alimentação	2
100	arrependimento	2
101	maquinação	2
102	concepção	2
103	transformação	2
104	interrogação	1
105	inclinação	1
106	composição	1
107	imitação	1
108	compensação	1
109	amortecimento	1
110	fabricação	1
111	desapontamento	1
112	veneração	1
113	estouvamento	1
114	infanção	1
115	aclamação	1
116	seguimento	1
117	humilhação	1
118	recolhimento	1
119	conversação	1
120	aprovação	1
121	extrema-unção	1
122	gravitação	1
123	contradição	1
124	contração	1
125	modificação	1
126	estremecimento	1
127	condenação	1
128	exprobação	1
129	projeção	1
130	deslumbramento	1
131	distinção	1
132	contorção	1
133	acanhamento	1
134	desaparecimento	1
135	quietação	1
136	deserção	1
137	merecimento	1
138	consumação	1
139	absolvição	1
140	restituição	1
141	depravação	1
142	obrigação	1
143	meiação	1
144	reclamação	1
145	restauração	1
146	acompanhamento	1
147	divertimento	1
148	emprazamento	1
149	edificação	1
150	consolidação	1
151	abatimento	1
152	torção	1
153	corrupção	1
154	julgamento	1
155	combinação	1
156	conhecimento	1
157	esquecimento	1
158	atrevimento	1
159	prevenção	1
160	atração	1
161	perdição	1
162	suposição	1
163	declaração	1
164	reiação	1
165	enunciação	1
166	decoração	1
167	demonstração	1
168	constituição	1
169	cristalização	1
170	fundação	1
171	desesperação	1
172	desfalecimento	1
173	extração	1
174	correção	1
175	comparação	1
176	atordoamento	1
177	fascinação	1
178	excitação	1
179	iniciação	1
180	retração	1
181	exacerbação	1
182	aviltamento	1
183	ferimento	1
