	word	freq
0	pensamento	25
1	sentimento	18
2	requerimento	15
3	repartição	8
4	legislação	8
5	admiração	7
6	agitação	7
7	consideração	7
8	destacamento	7
9	movimento	6
10	preocupação	6
11	conhecimento	6
12	contentamento	6
13	aborrecimento	6
14	embarcação	5
15	afirmação	5
16	imaginação	5
17	educação	5
18	sofrimento	5
19	emancipação	5
20	dedicação	5
21	distração	5
22	separação	4
23	cerração	4
24	intimação	4
25	isolamento	4
26	distinção	4
27	organização	4
28	levantamento	4
29	instrução	4
30	produção	4
31	criação	4
32	tratamento	4
33	recordação	4
34	fardamento	4
35	composição	3
36	aparição	3
37	concepção	3
38	ligação	3
39	escrituração	3
40	aparecimento	3
41	unção	3
42	inspiração	3
43	rendimento	3
44	observação	3
45	divertimento	3
46	edificação	3
47	abatimento	3
48	assentimento	3
49	disposição	3
50	explicação	3
51	estabelecimento	3
52	constituição	3
53	percepção	3
54	ilustração	3
55	obrigação	2
56	relaxamento	2
57	bajulação	2
58	veneração	2
59	recrutamento	2
60	plantação	2
61	simulação	2
62	recolhimento	2
63	adoração	2
64	reputação	2
65	meditação	2
66	construção	2
67	contemplação	2
68	cumprimento	2
69	evolução	2
70	viração	2
71	comunicação	2
72	reconhecimento	2
73	perturbação	2
74	alteração	2
75	administração	2
76	penetração	2
77	determinação	2
78	eleição	2
79	encarniçamento	2
80	demonstração	2
81	promoção	2
82	execução	2
83	graduação	2
84	afastamento	2
85	exploração	2
86	manifestação	2
87	formação	2
88	proteção	2
89	ferimento	2
90	exaltação	2
91	realização	2
92	andamento	2
93	interrogação	1
94	irrigação	1
95	contestação	1
96	invenção	1
97	incorporação	1
98	conservação	1
99	constrangimento	1
100	naturalização	1
101	interrupção	1
102	aproveitamento	1
103	articulação	1
104	congregação	1
105	emasculamento	1
106	informação	1
107	fecundação	1
108	abdicação	1
109	seguimento	1
110	aplicação	1
111	reprovação	1
112	escapamento	1
113	contradição	1
114	recepção	1
115	acaparamento	1
116	encadeamento	1
117	documentação	1
118	estremeção	1
119	enterramento	1
120	oposição	1
121	animação	1
122	arruamento	1
123	diminuição	1
124	transformação	1
125	tenção	1
126	agastamento	1
127	habitação	1
128	instituição	1
129	recomendação	1
130	renascimento	1
131	representação	1
132	repetição	1
133	enriquecimento	1
134	recebimento	1
135	sedução	1
136	arrumação	1
137	apagamento	1
138	merecimento	1
139	objeção	1
140	fingimento	1
141	retardamento	1
142	rendição	1
143	instalação	1
144	amplificação	1
145	deferimento	1
146	ostentação	1
147	vacilação	1
148	edição	1
149	circulação	1
150	metrificação	1
151	expedição	1
152	alinhamento	1
153	acompanhamento	1
154	entonação	1
155	frutificação	1
156	profanação	1
157	exclamação	1
158	indignação	1
159	projeção	1
160	gratificação	1
161	continuação	1
162	reiação	1
163	classificação	1
164	rompimento	1
165	extinção	1
166	concentração	1
167	extirpação	1
168	desafeição	1
169	conspiração	1
170	reprodução	1
171	modificação	1
172	remuneração	1
173	atrevimento	1
174	encantamento	1
175	exalação	1
176	elevação	1
177	desconsideração	1
178	nomeação	1
179	ocupação	1
180	compunção	1
181	discernimento	1
182	consolidação	1
183	decoração	1
184	semi-enterramento	1
185	oscilação	1
186	hesitação	1
187	consolação	1
188	regulamento	1
189	encerramento	1
190	empertigamento	1
191	apreciação	1
192	civilização	1
193	injunção	1
194	contribuição	1
195	comiseração	1
196	pagamento	1
197	correção	1
198	esquecimento	1
199	proibição	1
200	resignação	1
201	liquidação	1
202	associação	1
203	significação	1
204	adaptação	1
205	excitação	1
206	seqüestração	1
207	iniciação	1
208	argüição	1
209	tradução	1
210	moderação	1
211	vibração	1
212	operação	1
213	inadaptação	1
214	nivelamento	1
