	word	freq
0	inclinação	6
1	acção	6
2	atrevimento	4
3	divertimento	4
4	pensamento	4
5	sentimento	4
6	eleição	3
7	execução	3
8	isenção	2
9	valimento	2
10	consternação	2
11	averiguação	2
12	obrigação	2
13	seguimento	2
14	veneração	2
15	merecimento	2
16	entendimento	2
17	desesperação	2
18	cumprimento	1
19	interrogação	1
20	atracção	1
21	inquirição	1
22	preparação	1
23	geração	1
24	imitação	1
25	demonstração	1
26	oposição	1
27	inquietação	1
28	peregrinação	1
29	admiração	1
30	tenção	1
31	aflição	1
32	conservação	1
33	ponderação	1
34	empurração	1
35	ocupação	1
36	privação	1
37	tratamento	1
38	tentação	1
39	representação	1
40	repetição	1
41	habitação	1
42	oração	1
43	procedimento	1
44	inundação	1
45	devoção	1
46	informação	1
47	desengonçamento	1
48	aclamação	1
49	sublevação	1
50	imaginação	1
51	traição	1
52	recolhimento	1
53	condução	1
54	sofrimento	1
55	resolução	1
56	estrebuchamento	1
57	encangalhação	1
58	encaixação	1
59	elevação	1
60	consentimento	1
