	token	pos	lemma	text	year	suffix
127	contentamento	NOM	contentamento	aires1752.txt	1752	mento
128	movimento	NOM	movimento	aires1752.txt	1752	mento
129	movimento	NOM	movimento	aires1752.txt	1752	mento
130	movimento	NOM	movimento	aires1752.txt	1752	mento
131	movimento	NOM	movimento	aires1752.txt	1752	mento
133	movimento	NOM	movimento	aires1752.txt	1752	mento
134	esquecimento	NOM	esquecimento	aires1752.txt	1752	mento
135	merecimento	NOM	merecimento	aires1752.txt	1752	mento
137	pensamento	NOM	pensamento	aires1752.txt	1752	mento
138	entendimento	NOM	entendimento	aires1752.txt	1752	mento
139	esquecimento	NOM	esquecimento	aires1752.txt	1752	mento
140	entendimento	NOM	entendimento	aires1752.txt	1752	mento
141	conhecimento	NOM	conhecimento	aires1752.txt	1752	mento
142	pensamento	NOM	pensamento	aires1752.txt	1752	mento
143	conhecimento	NOM	conhecimento	aires1752.txt	1752	mento
144	aborrecimento	NOM	aborrecimento	aires1752.txt	1752	mento
145	movimento	NOM	movimento	aires1752.txt	1752	mento
146	merecimento	NOM	merecimento	aires1752.txt	1752	mento
147	merecimento	NOM	merecimento	aires1752.txt	1752	mento
148	merecimento	NOM	merecimento	aires1752.txt	1752	mento
150	sofrimento	NOM	sofrimento	aires1752.txt	1752	mento
152	merecimento	NOM	merecimento	aires1752.txt	1752	mento
154	entendimento	NOM	<unknown>	aires1752.txt	1752	mento
155	pensamento	NOM	pensamento	aires1752.txt	1752	mento
156	merecimento	NOM	merecimento	aires1752.txt	1752	mento
157	vencimento	NOM	<unknown>	aires1752.txt	1752	mento
159	pensamento	NOM	pensamento	aires1752.txt	1752	mento
160	fingimento	NOM	fingimento	aires1752.txt	1752	mento
161	movimento	NOM	movimento	aires1752.txt	1752	mento
163	movimento	NOM	movimento	aires1752.txt	1752	mento
164	conhecimento	NOM	conhecimento	aires1752.txt	1752	mento
166	pensamento	NOM	pensamento	aires1752.txt	1752	mento
167	fingimento	NOM	fingimento	aires1752.txt	1752	mento
170	pensamento	NOM	pensamento	aires1752.txt	1752	mento
172	pensamento	NOM	pensamento	aires1752.txt	1752	mento
173	consentimento	NOM	consentimento	aires1752.txt	1752	mento
174	pensamento	NOM	pensamento	aires1752.txt	1752	mento
175	entendimento	NOM	entendimento	aires1752.txt	1752	mento
176	entendimento	NOM	entendimento	aires1752.txt	1752	mento
177	entendimento	NOM	entendimento	aires1752.txt	1752	mento
178	merecimento	NOM	merecimento	aires1752.txt	1752	mento
179	merecimento	NOM	merecimento	aires1752.txt	1752	mento
180	merecimento	NOM	merecimento	aires1752.txt	1752	mento
181	pensamento	NOM	pensamento	aires1752.txt	1752	mento
182	pensamento	NOM	pensamento	aires1752.txt	1752	mento
183	medicamento	NOM	medicamento	aires1752.txt	1752	mento
184	miserávelinstrumento	NOM	<unknown>	aires1752.txt	1752	mento
190	fingimento	NOM	fingimento	aires1752.txt	1752	mento
191	conhecimento	NOM	conhecimento	aires1752.txt	1752	mento
192	vencimento	NOM	vencimento	aires1752.txt	1752	mento
194	conhecimento	NOM	conhecimento	aires1752.txt	1752	mento
195	conhecimento	NOM	conhecimento	aires1752.txt	1752	mento
197	merecimento	NOM	merecimento	aires1752.txt	1752	mento
198	merecimento	NOM	merecimento	aires1752.txt	1752	mento
199	entendimento	NOM	entendimento	aires1752.txt	1752	mento
200	conhecimento	NOM	conhecimento	aires1752.txt	1752	mento
201	merecimento	NOM	merecimento	aires1752.txt	1752	mento
202	pensamento	NOM	pensamento	aires1752.txt	1752	mento
204	merecimento	NOM	merecimento	aires1752.txt	1752	mento
205	conhecimento	NOM	<unknown>	aires1752.txt	1752	mento
206	esquecimento	NOM	esquecimento	aires1752.txt	1752	mento
207	movimento	NOM	movimento	aires1752.txt	1752	mento
208	entendimento	NOM	entendimento	aires1752.txt	1752	mento
209	entendimento	NOM	entendimento	aires1752.txt	1752	mento
210	entendimento	NOM	entendimento	aires1752.txt	1752	mento
