	word	freq
0	pensamento	13
1	movimento	11
2	imaginação	9
3	sentimento	8
4	conversação	7
5	divertimento	6
6	tratamento	6
7	acontecimento	5
8	juramento	4
9	agitação	4
10	narração	4
11	cumprimento	4
12	declaração	4
13	explicação	4
14	aprovação	3
15	consideração	3
16	admiração	3
17	proposição	3
18	resolução	3
19	oposição	2
20	reconhecimento	2
21	abatimento	2
22	disposição	2
23	cozimento	2
24	premeditação	2
25	acanhamento	2
26	contradição	2
27	recomendação	2
28	aplicação	2
29	procedimento	2
30	inspiração	2
31	traição	2
32	exaltação	2
33	ebulição	2
34	exacerbação	2
35	ressentimento	1
36	valimento	1
37	decomposição	1
38	agradecimento	1
39	acompanhamento	1
40	importação	1
41	exclamação	1
42	determinação	1
43	afetação	1
44	invenção	1
45	intervenção	1
46	adiantamento	1
47	instrução	1
48	acusação	1
49	contentamento	1
50	hesitação	1
51	titilação	1
52	perturbação	1
53	exageração	1
54	semideclaração	1
55	criação	1
56	estouvamento	1
57	prevenção	1
58	encantamento	1
59	desenvolvimento	1
60	isolamento	1
61	prostração	1
62	tentação	1
63	demonstração	1
64	insinuação	1
65	execução	1
66	aborrecimento	1
67	admoestação	1
68	consolação	1
69	inquietação	1
70	sofrimento	1
71	tenção	1
72	pressentimento	1
73	habitação	1
74	compensação	1
75	alienação	1
76	exasperação	1
77	correção	1
78	comparação	1
79	inflamação	1
80	merecimento	1
81	respiração	1
82	proteção	1
83	quimificação	1
84	afinação	1
85	desolação	1
86	desenxabimento	1
87	dissertação	1
