	word	freq
0	reputação	14
1	juramento	10
2	protecção	9
3	imitação	8
4	reconhecimento	7
5	acção	7
6	narração	7
7	oração	7
8	restauração	6
9	adiantamento	6
10	merecimento	6
11	obrigação	5
12	estabelecimento	5
13	composição	4
14	regimento	4
15	admiração	4
16	indignação	4
17	esquecimento	4
18	conhecimento	4
19	contemplação	4
20	atrevimento	4
21	movimento	3
22	conservação	3
23	eleição	3
24	adulação	3
25	prevenção	3
26	fundação	3
27	congregação	3
28	procedimento	3
29	tradução	3
30	invenção	2
31	agradecimento	2
32	imaginação	2
33	promulgação	2
34	significação	2
35	disposição	2
36	consternação	2
37	luzimento	2
38	emulação	2
39	aceitação	2
40	dissertação	2
41	distinção	2
42	colecção	2
43	inundação	2
44	resolução	2
45	edição	2
46	ocupação	1
47	concepção	1
48	expugnação	1
49	filiação	1
50	ponderação	1
51	restabelecimento	1
52	veneração	1
53	extirpação	1
54	abatimento	1
55	moderação	1
56	exageração	1
57	definição	1
58	polimento	1
59	conspiração	1
60	duração	1
61	contribuição	1
62	comiseração	1
63	consideração	1
64	interpretação	1
65	ostentação	1
66	inscrição	1
67	exaltação	1
68	alucinação	1
69	declaração	1
70	condenação	1
71	infracção	1
72	promoção	1
73	decoração	1
74	execução	1
75	aborrecimento	1
76	graduação	1
77	constituição	1
78	educação	1
79	conjuração	1
80	aplicação	1
81	instituição	1
82	representação	1
83	repetição	1
84	requerimento	1
85	devoção	1
86	padecimento	1
87	expectação	1
88	conflagração	1
89	extracção	1
90	sujeição	1
91	preocupação	1
92	depravação	1
93	correcção	1
94	propagação	1
95	distracção	1
96	salvamento	1
97	direcção	1
