	word	freq
0	devoção	23
1	oração	15
2	civilização	9
3	consideração	8
4	peregrinação	7
5	indignação	6
6	acampamento	5
7	inspiração	5
8	unção	5
9	inquietação	5
10	adoração	4
11	veneração	4
12	moderação	4
13	recolhimento	4
14	consolação	4
15	separação	3
16	palpitação	3
17	humilhação	3
18	assunção	3
19	relaxação	3
20	desolação	3
21	vibração	3
22	ocupação	2
23	visitação	2
24	administração	2
25	inscrição	2
26	flagelação	2
27	profanação	2
28	admiração	2
29	decomposição	2
30	crucificação	2
31	aclamação	2
32	invocação	2
33	irradiação	2
34	atarantação	2
35	estremecimento	2
36	mortificação	2
37	contrição	2
38	constituição	2
39	deslumbramento	2
40	ilustração	2
41	recomendação	2
42	salvação	2
43	construção	2
44	revelação	2
45	mandamento	2
46	libertação	2
47	sentimento	2
48	distração	2
49	reclamação	1
50	valimento	1
51	perturbação	1
52	composição	1
53	evocação	1
54	imitação	1
55	aparição	1
56	quietação	1
57	destruição	1
58	sortimento	1
59	contestação	1
60	divertimento	1
61	fingimento	1
62	imputação	1
63	desbragamento	1
64	edificação	1
65	continuação	1
66	descrição	1
67	renovamento	1
68	condensação	1
69	encarnação	1
70	afirmação	1
71	apontamento	1
72	povoação	1
73	combinação	1
74	explicação	1
75	imaginação	1
76	arrependimento	1
77	junção	1
78	retraimento	1
79	aprovação	1
80	pagamento	1
81	proteção	1
82	emanação	1
83	conciliação	1
84	perdição	1
85	fulguração	1
86	benção	1
87	desconsideração	1
88	condenação	1
89	estabelecimento	1
90	compunção	1
91	tentação	1
92	reverberação	1
93	demonstração	1
94	admoestação	1
95	aquisição	1
96	condecoração	1
97	sofrimento	1
98	ululação	1
99	adormecimento	1
100	tenção	1
101	pressentimento	1
102	educação	1
103	comunicação	1
104	compensação	1
105	acatamento	1
106	aplicação	1
107	imolação	1
108	embaciamento	1
109	correção	1
110	amoção	1
111	intervenção	1
112	complicação	1
113	enternecimento	1
114	argumentação	1
115	abstração	1
116	significação	1
117	inundação	1
118	traição	1
119	reparação	1
120	elevação	1
121	faiscação	1
122	iluminação	1
123	congratulação	1
124	prostituição	1
125	edição	1
