	word	freq
0	invenção	22
1	conhecimento	14
2	descrição	13
3	entendimento	13
4	ornamento	12
5	contemplação	11
6	tenção	8
7	imaginação	8
8	merecimento	8
9	deminuição	7
10	declaração	6
11	pensamento	4
12	devoção	4
13	contentamento	3
14	composição	3
15	movimento	3
16	comparação	3
17	emitação	3
18	fingimento	3
19	presumpção	3
20	devação	2
21	geração	2
22	imitação	2
23	mantimento	2
24	strumento	2
25	admiração	2
26	iluminação	2
27	quietação	2
28	crecimento	2
29	recreação	2
30	compartição	2
31	conversação	2
32	embasamento	2
33	relaxamento	1
34	ocupação	1
35	variação	1
36	deleitação	1
37	execução	1
38	incitamento	1
39	recreição	1
40	constituição	1
41	diminuição	1
42	inquietação	1
43	avaliação	1
44	compunção	1
45	obrigação	1
46	emulação	1
47	aceitação	1
48	decrição	1
49	eleição	1
50	glorificação	1
51	pareção	1
52	tratamento	1
53	transfiguração	1
54	veneração	1
55	leição	1
56	descontentamento	1
57	vencimento	1
58	perturbação	1
59	mandamento	1
60	impedimento	1
61	sorreição	1
62	reuerberação	1
63	sentimento	1
64	corrução	1
65	traição	1
66	consiração	1
67	ligamento	1
68	inclinação	1
69	reputação	1
70	fição	1
71	começão	1
72	perdição	1
73	meditação	1
74	mutação	1
75	desenfadamento	1
76	operação	1
