	word	freq
0	cumprimento	6
1	restauração	6
2	obrigação	4
3	acção	3
4	admiração	3
5	encarnação	2
6	execução	2
7	aclamação	2
8	combinação	2
9	ponderação	2
10	dissimulação	2
11	imposição	1
12	disposição	1
13	invenção	1
14	pensamento	1
15	merecimento	1
16	geração	1
17	confirmação	1
18	acomodação	1
19	imitação	1
20	imaginação	1
21	canonização	1
22	desesperação	1
23	levantamento	1
24	conservação	1
25	resolução	1
26	eleição	1
27	duração	1
28	privação	1
29	arção	1
30	salvação	1
31	representação	1
32	arrependimento	1
