	word	freq
0	mutação	15
1	obrigação	4
2	acção	4
3	pensamento	2
4	geração	2
5	execução	2
6	agradecimento	2
7	admiração	2
8	vencimento	2
9	cumprimento	1
10	encantamento	1
11	restauração	1
12	recebimento	1
13	contrição	1
14	tentação	1
15	logração	1
16	requerimento	1
17	cação	1
18	atrevimento	1
19	merecimento	1
20	consolação	1
21	oferecimento	1
22	imaginação	1
23	transformação	1
24	sentimento	1
25	desesperação	1
26	lançamento	1
27	impugnação	1
28	divertimento	1
29	condução	1
30	obstrução	1
31	apelação	1
32	conservação	1
33	presunção	1
34	crescimento	1
35	emulação	1
36	impedimento	1
37	exalação	1
38	acusação	1
