	word	freq
0	oração	40
1	mortificação	20
2	entendimento	17
3	merecimento	16
4	conhecimento	13
5	resolução	13
6	salvação	12
7	sentimento	12
8	consolação	11
9	obrigação	11
10	resignação	11
11	tentação	9
12	ocupação	7
13	pensamento	7
14	disposição	6
15	tenção	6
16	quietação	6
17	devoção	6
18	negação	5
19	aproveitamento	4
20	recolhimento	4
21	conversação	4
22	benção	4
23	aborrecimento	4
24	comparação	4
25	viração	4
26	imitação	3
27	movimento	3
28	imaginação	3
29	aflição	3
30	inclinação	3
31	contentamento	3
32	sofrimento	3
33	agradecimento	3
34	tribulação	3
35	reção	3
36	perseguição	3
37	peregrinação	2
38	eleição	2
39	esquecimento	2
40	impedimento	2
41	acção	2
42	duração	2
43	murmuração	2
44	consideração	2
45	meditação	2
46	arrependimento	2
47	atrevimento	2
48	execução	2
49	provação	2
50	informação	2
51	indeterminação	2
52	presunção	2
53	despimento	2
54	desmazelamento	1
55	ajustamento	1
56	destruição	1
57	respiração	1
58	mantimento	1
59	apegamento	1
60	edificação	1
61	continuação	1
62	regimento	1
63	desalumbramento	1
64	erecção	1
65	distraimento	1
66	medicamento	1
67	comunicação	1
68	provimento	1
69	observação	1
70	apontamento	1
71	aprovação	1
72	contemplação	1
73	fortificação	1
74	declinação	1
75	perdição	1
76	condenação	1
77	contrição	1
78	relaxação	1
79	navegação	1
80	fundação	1
81	recomendação	1
82	repetição	1
83	encantamento	1
84	fingimento	1
85	traição	1
86	preparação	1
87	adevinhação	1
88	transformação	1
89	quebrantamento	1
