	word	freq
0	determinação	12
1	embarcação	12
2	tenção	10
3	juramento	9
4	povoação	9
5	obrigação	6
6	requerimento	6
7	sentimento	6
8	informação	5
9	traição	5
10	regimento	4
11	geração	4
12	mareação	4
13	descobrimento	4
14	salvamento	4
15	salvação	3
16	detenção	3
17	esquipação	3
18	contradição	3
19	perdição	3
20	comparação	3
21	tratamento	2
22	restituição	2
23	execução	2
24	destruição	2
25	graduação	2
26	mantimento	2
27	acatamento	2
28	rendimento	2
29	conhecimento	2
30	oração	2
31	rompimento	2
32	fortificação	2
33	sustentação	1
34	saimento	1
35	alevantamento	1
36	fornimento	1
37	desembarcação	1
38	enterramento	1
39	atrevimento	1
40	consolação	1
41	peregrinação	1
42	apelação	1
43	comutação	1
44	quietação	1
45	aflição	1
46	conservação	1
47	encampação	1
48	esvaecimento	1
49	abatimento	1
50	reedificação	1
51	cravação	1
52	ajuntamento	1
53	cometimento	1
54	disposição	1
55	merecimento	1
56	medição	1
57	retificação	1
58	sermento	1
59	sujeição	1
60	viração	1
61	esquecimento	1
62	confirmação	1
63	navegação	1
64	resolução	1
65	oferecimento	1
66	agradecimento	1
67	dissimulação	1
