	word	freq
0	oração	25
1	terminação	22
2	afectação	15
3	merecimento	15
4	tradução	14
5	explicação	12
6	pontuação	10
7	derivação	10
8	eleição	9
9	admiração	9
10	composição	8
11	aspiração	7
12	edição	7
13	conhecimento	6
14	construção	6
15	significação	6
16	proposição	6
17	interrogação	5
18	entendimento	5
19	separação	4
20	interrupção	4
21	impedimento	4
22	declinação	4
23	cumprimento	4
24	obrigação	4
25	inclinação	3
26	agradecimento	3
27	exclamação	3
28	corrupção	3
29	consideração	3
30	elevação	3
31	descrição	3
32	excepção	3
33	aplicação	3
34	pensamento	3
35	distinção	3
36	respiração	3
37	introdução	3
38	observação	2
39	adiantamento	2
40	aproveitamento	2
41	disposição	2
42	comunicação	2
43	emulação	2
44	colecção	2
45	preocupação	2
46	resolução	2
47	circulação	1
48	declaração	1
49	vencimento	1
50	movimento	1
51	destruição	1
52	imitação	1
53	exremento	1
54	imaginação	1
55	invenção	1
56	recomendação	1
57	equivocação	1
58	restabelecimento	1
59	sentimento	1
60	conjugação	1
61	veneração	1
62	perturbação	1
63	acção	1
64	criação	1
65	sujeição	1
66	dissenção	1
67	recebimento	1
68	oferecimento	1
69	meditação	1
70	confutação	1
71	devação	1
72	umaproposição	1
73	transposição	1
74	execução	1
75	graduação	1
76	consolação	1
77	regulamento	1
78	educação	1
79	enumeração	1
80	fundação	1
81	percepção	1
82	prescrição	1
83	repetição	1
84	declamação	1
85	esquipação	1
86	devoção	1
87	redacção	1
88	negação	1
89	presunção	1
90	correcção	1
91	destruíção	1
