	word	freq
0	pensamento	15
1	resolução	15
2	conhecimento	13
3	sentimento	10
4	tratamento	9
5	saudação	9
6	povoação	7
7	proteção	7
8	imaginação	6
9	arrumação	6
10	conversação	5
11	obrigação	5
12	reconhecimento	5
13	respiração	5
14	procedimento	5
15	inclinação	4
16	admiração	4
17	conservação	4
18	contentamento	4
19	hesitação	4
20	movimento	4
21	execução	4
22	educação	4
23	sofrimento	4
24	acanhamento	4
25	associação	4
26	infusação	3
27	aflição	3
28	carregamento	3
29	prevenção	3
30	meditação	3
31	comparação	3
32	complicação	3
33	indicação	2
34	geração	2
35	desenvolvimento	2
36	apuração	2
37	instrução	2
38	vadiação	2
39	calçamento	2
40	aparecimento	2
41	criação	2
42	elevação	2
43	isolamento	2
44	realização	2
45	dedicação	2
46	matação	2
47	pressentimento	2
48	aproximação	2
49	acontecimento	2
50	recomendação	2
51	perseguição	2
52	alienação	2
53	consentimento	2
54	agradecimento	2
55	formação	2
56	divertimento	2
57	mineração	2
58	pagamento	2
59	açodamento	2
60	carregação	2
61	abatimento	2
62	acampamento	1
63	invenção	1
64	irradiação	1
65	intuição	1
66	observação	1
67	rompimento	1
68	desapontamento	1
69	cessação	1
70	acompanhamento	1
71	escavação	1
72	entonação	1
73	ligação	1
74	exaltamento	1
75	afetação	1
76	indignação	1
77	intervenção	1
78	ponderação	1
79	eleição	1
80	mangação	1
81	abnegação	1
82	classificação	1
83	aproveitamento	1
84	entalação	1
85	reconciliação	1
86	afrontamento	1
87	informação	1
88	decifração	1
89	acolhimento	1
90	perpetração	1
91	restabelecimento	1
92	agitação	1
93	imprecação	1
94	duração	1
95	colocação	1
96	ventilação	1
97	retraimento	1
98	consagração	1
99	contemplação	1
100	derramamento	1
101	atrevimento	1
102	descumprimento	1
103	recordação	1
104	oferecimento	1
105	narração	1
106	alagamento	1
107	investigação	1
108	perdição	1
109	arrependimento	1
110	declaração	1
111	denominação	1
112	embevecimento	1
113	prostração	1
114	organização	1
115	tentação	1
116	reiação	1
117	explicação	1
118	apoucamento	1
119	oscilação	1
120	caiamento	1
121	consternação	1
122	aborrecimento	1
123	animação	1
124	aquisição	1
125	recepção	1
126	viração	1
127	tenção	1
128	iluminação	1
129	aceitação	1
130	exploração	1
131	desvanecimento	1
132	salvação	1
133	reprovação	1
134	repetição	1
135	influição	1
136	verificação	1
137	ajuntamento	1
138	habitação	1
139	labutação	1
140	ostentação	1
141	devoção	1
142	ablução	1
143	traição	1
144	abstração	1
145	obtenção	1
146	merecimento	1
147	consumação	1
148	rendição	1
149	excitação	1
150	confirmação	1
151	regeneração	1
152	presunção	1
153	manifestação	1
154	deliberação	1
155	ferimento	1
156	transformação	1
157	orientação	1
