	word	freq
0	geração	15
1	pensamento	15
2	mantimento	10
3	tenção	10
4	regimento	9
5	ajuntamento	9
6	movimento	7
7	vencimento	5
8	contentamento	4
9	obrigação	4
10	esquecimento	4
11	embarcação	3
12	tratamento	3
13	atrevimento	2
14	destruição	2
15	cometimento	2
16	admiração	2
17	determinação	2
18	influïção	2
19	corrupção	2
20	povoação	2
21	informação	2
22	salvamento	2
23	fingimento	2
24	sentimento	2
25	desesperação	2
26	navegação	2
27	entendimento	2
28	ordenação	1
29	invenção	1
30	inclinação	1
31	expedição	1
32	enterramento	1
33	adoração	1
34	consolação	1
35	inquietação	1
36	criação	1
37	quietação	1
38	crecimento	1
39	despedimento	1
40	treïção	1
41	salvação	1
42	veneração	1
43	publicação	1
44	sofrimento	1
45	merecimento	1
46	alteração	1
47	adulação	1
48	conhecimento	1
49	conversação	1
50	narração	1
51	perdição	1
52	impedimento	1
